Location,City,State,Country,CountryCode,Locality,LocalityGeneral,LocalitySpecific,LocalityType,GPSAltitude,GPSAltitudeRef,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSMapDatum,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp,GPSVersionID,Threshold,Show on Map
-,Powell River,British Columbia,Canada,CAN,-,West Coast,Desolation Sound,Sound,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,Navua,Fiji,FJI,-,Navua River,Nukusere Village,Village,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
-,-,British Columbia,Canada,CAN,-,Vancouver Island,Horne Lake,Lake,-,-,-,-,-,-,-,-,49.34619189,N,-124.7068338,W,-,-,-,-,-,-,500,Show on Map
1001 Douglas Street [Sussex Building],Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42398023,N,-123.3644539,W,-,-,-,-,-,2 2 0 0,50,Show on Map
1006 Karen Crescent,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
114 Berkeley Avenue [Now 45878],Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
1229 Alan Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.48476649,N,-123.4077501,W,-,-,-,-,-,2 2 0 0,50,Show on Map
1233 West Cordova Street,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.29004116,N,-123.1212956,W,-,-,-,-,-,2 2 0 0,50,Show on Map
1285 Boulderpath Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.40538882,N,-123.5585654,W,-,-,-,-,-,2 2 0 0,50,Show on Map
1296 Boulderpath Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
16 Fairfax Road,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.54372207,N,-0.178397718,W,-,-,-,-,-,2 3 0 0,50,Show on Map
165 16th Street,Fernie,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
18 Golden Orchid Drive [Martinique Whitsunday],Airlie Beach,Queensland,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-20.27180756,S,148.7208335,E,-,-,-,-,0,2 2 0 0,50,Show on Map
1810 Blanshard Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.43051757,N,-123.3623511,W,-,-,-,-,-,2 2 0 0,50,Show on Map
1810 Koksilah Road,Duncan,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.72967464,N,-123.6210698,W,-,-,-,-,-,-,50,Show on Map
200 Columbia Valley Road,Columbia Valley,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.00712251,N,-122.0816231,W,-,-,-,-,-,2 2 0 0,50,Show on Map
210 3205 Wetherby Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.44866747,N,-123.339622,W,-,-,-,-,-,2 2 0 0,50,Show on Map
211 Margaret Avenue [Now 46235],Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
211 Reece Avenue [Now 45711],Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
2200 South Road - Gabriola Community Hall,Gabriola Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.13316895,N,-123.7547179,W,-,-,-,-,-,-,50,Show on Map
2277 Pond Place,Sooke,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.38593561,N,-123.7242186,W,-,-,-,-,-,2 2 0 0,50,Show on Map
245 Ontario Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.41837486,N,-123.3790585,W,-,-,-,-,-,2 2 0 0,50,Show on Map
2461 E 21st Avenue,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
2723 Peatt Road [Peter Zorn],Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.45180568,N,-123.4988058,W,-,-,-,-,-,2 2 0 0,50,Show on Map
28 Hartswood Road,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.49485202,N,-0.245630771,W,-,-,-,-,-,2 3 0 0,50,Show on Map
2820 Parkview Drive,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
2855 Sophia Street,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.25975644,N,-123.0986094,W,-,-,-,-,-,2 2 0 0,50,Show on Map
29 Reece Avenue [Now 45723 - Uncle Ernie's],Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
29 Woodstock Road,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.57143918,N,-0.198473283,W,-,-,-,-,-,2 3 0 0,50,Show on Map
2930 Prior Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.44380856,N,-123.3566433,W,-,-,-,-,-,2 2 0 0,50,Show on Map
"3255 Cook Street, Suite 110",Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
32909 Cherry Street,Mission,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
330 Damon Drive [Aunt Trish],Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.45872809,N,-123.4596616,W,-,-,-,-,-,2 2 0 0,50,Show on Map
3575 Dougan Drive [John Deveau's],Cobble Hill,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.68996354,N,-123.5845774,W,-,-,-,-,0,2 2 0 0,50,Show on Map
3783 Manitoba Avenue,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
38 Bolingbroke Road,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.50061001,N,-0.216992316,W,-,-,-,-,-,2 3 0 0,50,Show on Map
4000 Seymour Place,Victoria,British Columbia,Canada,CAN,-,-,-,-,27.95815296,0,157.5784447,T,-,65,157.5784447,T,48.45255556,N,-123.3698806,W,-,-,0,K,-,2 2 0 0,50,Show on Map
4020 Grange Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46939758,N,-123.4073639,W,-,-,-,-,-,2 2 0 0,50,Show on Map
4022 Grange Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46959498,N,-123.4074014,W,-,-,-,-,-,2 2 0 0,50,Show on Map
4166 Fernwood Avenue,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
41924 Kirk Avenue,Yarrow,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.08273132,N,-122.0641539,W,-,-,-,-,-,2 2 0 0,50,Show on Map
44 Sutherland Avenue,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.52390802,N,-0.192650509,W,-,-,-,-,-,2 3 0 0,50,Show on Map
455 Phelps Avenue,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46465691,N,-123.4861174,W,-,-,-,-,-,2 2 0 0,50,Show on Map
4570 Wilkinson Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.49719815,N,-123.3952282,W,-,-,-,-,-,2 2 0 0,50,Show on Map
4597 Manson Avenue,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
46152 First Avenue,Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.16949306,N,-121.9420503,W,-,-,-,-,-,2 2 0 0,50,Show on Map
5 McDonald Avenue,Hamilton,Victoria,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-37.72878012,S,142.0201188,E,-,-,-,-,0,2 2 0 0,50,Show on Map
530 Montrose Road,Mayne Island,British Columbia,Canada,CAN,-,-,-,-,57.18781006,0,-,-,-,-,277.3570248,M,48.8429648,N,-123.2789008,W,WGS-84,-,-,-,-,2 2 0 0,50,Show on Map
538 Arbutus,Mayne Island,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
6092 Alington Road,Duncan,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
6363 Silverthorne Road,Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
6464 Golledge Road,Sooke,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.38288329,N,-123.711462,W,-,-,-,-,-,2 2 0 0,50,Show on Map
"665 East 6th Avenue, Suite 316",Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
6762 Foreman Heights Drive,Sooke,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
6845 Courtenay Street,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
7 Seventh Avenue,Perth,Western Australia,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-31.98113351,S,115.8828503,E,-,-,-,-,0,2 2 0 0,50,Show on Map
7 The Pinnacle,Port Macquarie,New South Wales,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-31.47061708,S,152.9219735,E,-,-,-,-,0,2 2 0 0,50,Show on Map
7085 Penticton,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.81656941,N,-124.5167537,W,-,-,-,-,-,2 2 0 0,50,Show on Map
715 Johnson Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
7206 Jordan Street,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.82865346,N,-124.5117608,W,-,-,-,-,-,-,50,Show on Map
7214 Jordan Street,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,49.82865556,N,-124.5114028,W,-,-,-,-,-,2 3 0 0,50,Show on Map
7216 Kitchener,Burnaby,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.27145097,N,-122.9517156,W,-,-,-,-,-,2 2 0 0,50,Show on Map
8 Milne Street,Crib Point,Victoria,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-38.36455918,S,145.2067953,E,-,-,-,-,-,2 2 0 0,50,Show on Map
855 Phoenix Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.4393104,N,-123.3967745,W,-,-,-,-,-,2 2 0 0,50,Show on Map
9 Woodstock Road,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.57144073,N,-0.198474721,W,-,-,-,-,-,2 3 0 0,50,Show on Map
90 Sutherland Avenue,London,Southeast England,England,GBR,-,-,-,-,-,-,-,-,-,-,-,-,51.52501826,N,-0.189701162,W,-,-,-,-,-,2 3 0 0,50,Show on Map
904 Old Esquimalt Road,Esquimalt,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.43324669,N,-123.400645,W,-,-,-,-,-,2 2 0 0,50,Show on Map
"924 Cook Street, Suite 203",Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42180331,N,-123.3547953,W,-,-,-,-,-,2 2 0 0,50,Show on Map
940 Blanshard Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42437004,N,-123.3633596,W,-,-,-,-,-,2 2 0 0,50,Show on Map
954 Burnside Road West,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46359269,N,-123.4077555,W,-,-,-,-,-,2 2 0 0,50,Show on Map
955 Humbolt Street,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.41788176,N,-123.3604011,W,-,-,-,-,-,2 2 0 0,50,Show on Map
986 Weaver Place,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42957697,N,-123.5283463,W,-,-,-,-,-,2 2 0 0,50,Show on Map
995 furber Road,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.4485287,N,-123.5127398,W,-,-,-,-,-,2 2 0 0,50,Show on Map
998 Thurlow Street,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.28256708,N,-123.1275961,W,-,-,-,-,-,2 2 0 0,50,Show on Map
"998 Thurlow Street, Suite 606",Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
998 Violet Avenue [Nana Kate's],Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46908636,N,-123.4068435,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Abandoned Deertrail Resort,Sooke,British Columbia,Canada,CAN,-,Vancouver Island,Sooke Potholes,River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,Show on Map
Adrena LINE Zipline Adventure Tours,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.39421967,N,-123.6278468,W,-,-,-,-,0,2 2 0 0,50,Show on Map
AirBnB,Melbourne,Victoria,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-37.82662202,S,144.9568829,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Airport,Cairns,Queensland,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-16.87639632,S,145.7533576,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Anacortes Ferry,Sidney,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.64263402,N,-123.398121,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Andrews Cabin at the Hole in the Wall,Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Angkor Thom,Siem Reap,Siem Reap,Cambodia,KHM,-,-,-,-,-,0,-,-,-,-,-,-,13.44475317,N,103.856376,E,-,-,-,-,-,2 3 0 0,50,Show on Map
Angkor Wat,Siem Reap,Siem Reap,Cambodia,KHM,-,-,-,-,-,0,-,-,-,-,-,-,13.42017778,N,103.8595963,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Artisans Angkor,Siem Reap,Siem Reap,Cambodia,KHM,-,-,-,-,-,0,-,-,-,-,-,-,13.35291959,N,103.8517427,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Atago Shrine,Noda,Chiba Prefecture,Japan,JPN,-,-,-,-,-,0,-,-,-,-,-,-,35.94926168,N,139.8619008,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Australian Reptile Park,Somersby,New South Wales,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-33.41760477,S,151.2777606,E,-,-,-,-,-,2 3 0 0,50,Show on Map
Babbington Hill,East Sooke,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.33879356,N,-123.6693192,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Bago Vineyard and Maze,Port Macquarie,New South Wales,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-31.53772133,S,152.6870312,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Baldy Hughes Radar Station,Baldy Hughes,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Bamberton,Mill Bay,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.60509914,N,-123.5224038,W,-,-,-,-,-,2 2 0 0,50,Show on Map
BC Aviation Museum,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.64052319,N,-123.4210056,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Beach Acres,Parksville,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.56743163,N,-123.5468602,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Beacon Hill Park,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.41386377,N,-123.3615303,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Beaver Lake,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.51162934,N,-123.3872366,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Beckwith Park,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.48115917,N,-123.3738872,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Belmont Secondary School,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.43855059,N,-123.5108221,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Ben Thanh Market,Ho Chi Minh City,Ho Chi Minh City,Vietnam,VNM,-,-,-,-,-,0,-,-,-,-,-,-,10.77264526,N,106.6979688,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Bennett Bay,Mayne Island,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.84671401,N,-123.2504761,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Billabong Koala and Wildlife Park,Port Macquarie,New South Wales,Australia,AUS,-,-,-,-,-,0,-,-,-,-,-,-,-31.45853567,S,152.8199294,E,-,-,-,-,0,2 3 0 0,50,Show on Map
Bilston Creek Farm,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.387508,N,-123.524331,W,-,-,-,-,-,-,50,Show on Map
Blinkhorn Lake,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.38780058,N,-123.5759997,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Blubber Bay,Texada,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Bond Bond's Bakery,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42386454,N,-123.3627373,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Botanical Beach,Port Renfrew,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.52584947,N,-124.442364,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Breakwater,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.41393499,N,-123.3872366,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Bridge over the River Kwai,Tha Ma Kham,Kanchanaburi Province,Thailand,THA,-,-,-,-,-,0,-,-,-,-,-,-,14.04113086,N,99.50368881,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Bridgeport Station,Richmond,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.1950858,N,-123.1277419,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Britannia Mine Museum,Britannia Beach,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.62267989,N,-123.2038164,W,-,-,-,-,-,2 2 0 0,50,Show on Map
British Columbia Legislature,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42166803,N,-123.3683538,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Brittannia Mine Museum,Brittannia,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Broadway Mall,Sydney,New South Wales,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-33.88344952,S,151.1945745,E,-,-,-,-,-,-,50,Show on Map
Bruce Belchers Daintree River Cruises,Daintree Rainforest,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.26015994,S,145.3647473,E,-,-,-,-,-,-,50,Show on Map
Bujinkan Honbu Dojo,Noda,Chiba Prefecture,Japan,JPN,-,-,-,-,-,0,-,-,-,-,-,-,35.94926168,N,139.8619008,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Butchart Gardens,Victoria,British Columbia,Canada,CAN,-,-,-,-,22.09259155,0,355.6089172,T,-,32.00483304,355.6089172,T,48.56506389,N,-123.4682083,W,-,-,0.032608278,K,-,2 2 0 0,50,Show on Map
Butterfly Gardens,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.56443611,N,-123.4391639,W,-,-,-,-,-,2 3 0 0,50,Show on Map
"Butterfly World, Coombs",Coombs,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Cairns Esplanade,Cairns,Queensland,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-16.90984351,S,145.7665828,E,-,-,-,-,-,-,50,Show on Map
Caleb Pike,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.46923611,N,-123.4074139,W,-,-,-,-,-,2 3 0 0,50,Show on Map
Calle Norzagaray,San Juan,Puerto Rico,United States of America,USA,-,-,-,-,-,0,-,-,-,-,-,-,18.47081709,N,-66.12391949,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Calle San Agustin,San Juan,Puerto Rico,United States of America,USA,-,-,-,-,-,0,-,-,-,-,-,-,18.46576759,N,-66.0900191,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Camosun College Landsdowne Campus,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.44811951,N,-123.3221769,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Campbell River Museum,Campbell River,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,50.01529562,N,-125.2361691,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Canadian Forces Base Chilliwack,Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Canadian Forces Base Clinton [CFB Clinton],Clinton,Ontario,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Capilano Suspension Bridge Park,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Castillo San Cristobal,San Juan,Puerto Rico,United States of America,USA,-,-,-,-,-,0,-,-,-,-,-,-,18.46576759,N,-66.0900191,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Castillo San Felipe del Morro,San Juan,Puerto Rico,United States of America,USA,-,-,-,-,-,0,-,-,-,-,-,-,18.47081709,N,-66.12391949,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Cathedral Grove,Port Alberni,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.56743163,N,-123.5468602,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Cattle Point,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.43822569,N,-123.294739,W,-,-,-,-,-,-,50,Show on Map
Chancellor Park,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.46488124,N,-123.4209198,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Cherries Breakfast Bistro,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.479671,N,-123.4113765,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Chilliwack Landing Leisure Centre,Chilliwack,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.16875037,N,-121.9662586,W,-,-,-,-,-,2 2 0 0,50,Show on Map
China Town,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42930734,N,-123.3684075,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Choeung Ek Genocidal Center,Phnom Penh,Phnom Penh,Cambodia,KHM,-,-,-,-,-,-,-,-,-,-,-,-,11.48465,N,104.9021806,E,-,-,-,-,-,2 3 0 0,50,Show on Map
Christmas Hill,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.47360411,N,-123.3770657,W,-,-,-,-,-,2 2 0 0,50,Show on Map
"Church of Assumption, Powell River",Powell River,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
City Hall,Ho Chi Minh City,Ho Chi Minh City,Vietnam,VNM,-,-,-,-,-,0,-,-,-,-,-,-,10.77755675,N,106.7027754,E,-,-,-,-,-,2 2 0 0,50,Show on Map
Clover Point,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.40393583,N,-123.3495569,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Coal Harbour,Vancouver,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.28989421,N,-123.118608,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Cook Street Village,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,48.41515088,N,-123.3562731,W,-,-,-,-,-,-,50,Show on Map
Coombs Market,Coombs,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,49.3125895,N,-124.2639327,W,-,-,-,-,0,2 2 0 0,50,Show on Map
Cordova Bay Beach,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.52441413,N,-123.3656931,W,-,-,-,-,-,2 2 0 0,50,Show on Map
Cottelsoe Beach,Perth,Western Australia,Australia,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-31.99539645,S,115.751195,E,-,-,-,-,-,-,50,Show on Map
Craig X Climbing Gym,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,Show on Map
Craigdarroch Castle,Victoria,British Columbia,Canada,CAN,-,-,-,-,-,0,-,-,-,-,-,-,48.42261499,N,-123.3436695,W,-,-,-,-,-,2 2 0 0,50,Show on Map
